Date,ArticleCount,UniqueSourceCount,MeanRelevanceScore,MeanBTCEntitySentiment,sentiment_score,bullish_score,bearish_score,uncertainty_score,market_impact_score,dominant_event_type,mentions_etf,mentions_regulation,mentions_exchange,mentions_hack_or_security,mentions_institutional_adoption,daily_summary,rationale
2022-03-30,138,13,,0.09582143478260868,0.0,0.1,0.1,0.8,0.1,other,1,0,0,0,0,"The aggregated news for the day primarily covers price and market capitalization updates of various altcoins and tokens, with minor mentions of Bitcoin adoption and trading activity. There is no significant Bitcoin-specific regulatory, technical, security, mining, or exchange event reported. The overall sentiment is neutral with slight bullish and bearish balanced by high uncertainty due to lack of impactful Bitcoin-specific news. Market impact is low as the news mostly discusses smaller altcoins, not Bitcoin directly.","The news corpus largely consists of altcoin price and market cap movements with no direct impactful news on Bitcoin’s price, regulation, ETF, or adoption by institutions. There is one mention related to Bitcoin adoption in a general AMA, but details are minimal. The dominant type is classified as 'other' since no specific category is dominant. The sentiment is neutral with low bullish and bearish scores reflecting minor price movements in smaller tokens. High uncertainty score reflects lack of definitive market-moving Bitcoin-related news. Market impact is scored low because no news indicates strong influence on Bitcoin price or market. ETF is mentioned in some source names but without concrete Bitcoin ETF news; thus, mentions_etf is set to 1 as the data source is ETF Daily News but no clear Bitcoin ETF event is highlighted. No indications of regulation, exchange incidents, or security issues."
2022-04-25,4,4,,0.28014775,-0.1,0.3,0.4,0.5,0.3,macro,0,0,0,0,0,"The Bitcoin-related news on April 25, 2022, reflects a cautious market environment. Technical analysis points to underperformance and waning retail interest, indicating bearish sentiment amid uncertain macroeconomic conditions. However, some analysts highlight Bitcoin's potential as a superior inflation hedge compared to traditional assets like gold and real estate, offering a modest bullish perspective. Overall, the day is dominated by macroeconomic themes influencing Bitcoin's price action and investor behavior, with no significant news on ETFs, regulation, exchanges, security, or institutional adoption.","The primary tone is slightly bearish due to underperformance and retail investors leaving the market. This is balanced by a bullish view on Bitcoin's inflation hedge potential. The uncertainty score is elevated reflecting unclear macroeconomic conditions and sideways price action. Market impact is moderate given no major events like regulatory changes or exchange incidents. Dominant event type is macro, focusing on inflation and economic sentiment rather than regulatory or technical factors. No mentions of ETF, regulation, exchange, security, or institutional adoption were evident in the day's news."
2022-04-26,37,14,,0.252228054054054,0.55,0.65,0.15,0.2,0.7,adoption,1,1,1,1,1,"Bitcoin displayed a strong rebound with prices recovering above $40,000, supported by increased adoption signals such as Fidelity enabling Bitcoin in 401(k) plans and Coinbase introducing a crypto debit card. Institutional interest is highlighted by SkyBridge Capital allocating significant assets to Bitcoin and Ethereum. Regulatory developments were present with U.S. DOJ charges related to cryptocurrency services for North Korea, and ongoing SEC lawsuit updates impacting XRP. Exchange activity included significant Bitcoin bulk transfers from Coinbase wallets. Security concerns remained relevant with reports of liquidations in altcoins and hacking incidents. The overall market sentiment was cautiously bullish based on positive adoption and institutional news, despite some regulatory and market uncertainty. ETF news included delays in an Australian BTC ETF and general ETF-related market movement.","The dominant event type is adoption given multiple key news items about Fidelity's 401(k) Bitcoin offering, Coinbase's crypto debit card, and large institutional allocations to Bitcoin. Positive price rebounds (+4.1%) and market cap growth support bullish sentiment, while regulatory enforcement actions and lawsuit updates raise some caution, contributing to modest bearish and uncertainty scores. Exchange and security mentions, including wallet transfers and liquidation data, are noted but less dominant. ETF mentions appear with the Australian Cosmos BTC ETF delay but do not overshadow adoption themes. Market impact is rated high (0.7) due to combined effects of institutional adoption, regulatory news, and exchange activity influencing prices and sentiment."
2022-04-27,42,12,,0.21417485714285722,-0.35,0.25,0.6,0.5,0.7,regulation,1,1,0,0,1,"On April 27, 2022, Bitcoin experienced significant downward price pressure with BTC and other major cryptocurrencies falling notably, contributing to a 5.6% drop in global crypto market capitalization. Key negative factors included broad market uncertainty amid global geopolitical tensions and economic concerns, as well as regulatory developments such as the European Union's impending anti-money laundering discussions focused on cryptocurrencies. Cryptocurrency ETFs faced setbacks, with Australia's first three crypto ETFs missing their launch day, highlighting regulatory and market challenges. Institutional adoption signals appeared mixed, with a large asset management firm planning to offer Bitcoin 401(k) options, but retail platforms like Robinhood announcing workforce reductions amid challenging market conditions. Meanwhile, potential regulatory actions on crypto mining in New York and broader macroeconomic uncertainty added to bearish sentiment. Overall, regulatory topics dominated the news with notable bearish impacts, offset slightly by adoption progress and technical infrastructure developments associated with some tokens.","The aggregated news largely reflects a bearish environment for Bitcoin driven by price declines and macro uncertainties. Regulatory themes are prominent, including upcoming EU AML deliberations, state-level mining restrictions, and stalled ETF launches, which increase uncertainty and bearish outlooks. Institutional adoption news, like Fidelity's planned Bitcoin 401(k) product, provides some bullish counterbalance but is overshadowed by negative price action and regulatory headwinds. No major exchange outages or security breaches were reported, keeping those scores low. The presence of ETF launch failures warrants ETF mention and market impact elevation. The sentiment scores reflect stronger bearishness moderated by noted adoption and infrastructure developments, while uncertainty remains elevated due to ongoing regulatory discussions and macroeconomic instability."
2022-04-28,42,16,,0.21425126190476193,0.2,0.35,0.25,0.3,0.5,adoption,1,1,1,0,1,"The Bitcoin-related news on 2022-04-28 reflects a cautiously optimistic market sentiment with Bitcoin and Ethereum seeing rebounds, though still under key psychological price levels. Significant institutional interest is evident from developments like Fidelity enabling Bitcoin in 401(k) plans, Goldman Sachs exploring tokenization, and BlackRock launching a blockchain ETF, highlighting growing adoption. Regulatory matters are present, notably with the SEC rejecting a spot Bitcoin ETF and the Mexican government installing a Bitcoin ATM amid regulatory attempts. Exchange-related news includes the coverage of FTX US derivatives clearing proposals and U.S. market-focused exchange reviews. While some bearish outlooks exist, including warnings about extreme HODLing and critiques of Altcoins, the overall picture is one of steady adoption gains tempered by regulatory and market uncertainties. The dominant theme is institutional and retail adoption, supported by ETF and regulatory news impacting market dynamics.","The sentiment is moderately positive given Bitcoin's price rebounds and institutional moves such as Fidelity's and BlackRock's crypto-related products. Bullishness is driven by adoption news and ETF launches, whereas bearishness stems from regulatory pushbacks like the SEC rejecting an ETF and warnings about Bitcoin's risks. Uncertainty is elevated due to mixed regulatory signals, including Mexico's crypto regulation efforts and the CFTC's scrutiny of derivatives. Market impact is medium-high given the involvement of major institutions and developments in regulated markets. Mention of ETFs, regulation, exchanges, and institutional adoption all feature prominently, with no significant security incidents reported. The adoption category dominates due to multiple stories of adoption acceleration, including integration into retirement accounts, Bitcoin ATM installations, and institutional blockchain products."
2022-04-29,35,14,,0.18527585714285713,0.3,0.6,0.2,0.3,0.6,adoption,0,1,1,0,1,"The news day shows a mildly bullish tone for Bitcoin with several key positive developments. Notably, institutional adoption is highlighted by Goldman Sachs offering the first Bitcoin-backed loan and Fidelity planning to allow Bitcoin investments in 401(k) accounts despite regulatory pushback. Panama's crypto regulation bill approval also adds to legitimacy and adoption tailwinds. Price action is mixed, with Bitcoin trading green but struggling to break $40,000 resistance and analysts debating a bottoming out pattern. Large whale accumulation signals possible institutional confidence. Some regulatory and market uncertainties remain, including US Labor Department pushback and cautious price outlooks. Overall, institutional adoption and positive market moves dominate the day's narrative, indicating moderate bullishness with some uncertainties and moderate market impact.","The dominant event type is adoption due to strong focus on institutional actions (Goldman Sachs loan, Fidelity 401(k) plan) and national-level regulation supporting cryptocurrency use (Panama bill). Sentiment is moderately bullish (+0.3) given positive institutional moves and whale buying, but tempered by price resistance near $40K and regulatory pushback. Bullish score is elevated (0.6) with initiatives expanding crypto access and new loan products. Bearish score is lower (0.2) since some articles discuss price corrections and regulatory concerns. Uncertainty (0.3) reflects mixed price signals and regulatory doubts. Market impact is moderate (0.6) because the combination of institutional adoption and legislation can affect market sentiment and flows materially, even though price gains are modest. ETF mentions are absent; regulation, exchange and institutional adoption are present and noted."
2022-05-24,22,8,,0.12399336363636365,-0.6,0.2,0.7,0.4,0.7,macro,0,1,1,0,1,"The news from May 24, 2022 reflects a predominantly bearish sentiment for Bitcoin, with its price falling over 4% to below $30,000 amid broader risk-off market conditions including stock selloffs and volatile crypto sentiment. Negative sentiment is compounded by critical regulatory comments from ECB President Christine Lagarde, emphasizing skepticism about crypto asset value. However, adoption news remains mildly bullish, highlighted by institutional moves such as Coinbase becoming the first crypto firm on the Fortune 500 and major brands like Balenciaga and Gucci accepting crypto payments. Additionally, an anonymous large Bitcoin transfer to Coinbase and new crypto-friendly initiatives by the Central African Republic show ongoing ecosystem activity. The dominant theme is macro-driven negative market impact, influenced by global economic sentiment, regulatory scrutiny, and risk-off dynamics. Uncertainty remains due to volatile market responses and mixed signals from adoption and critical commentary. Overall, the day's news portrays a challenging environment for Bitcoin but with continued signs of institutional and geographic adoption progress.","Multiple news items report Bitcoin's significant price decline (>4%) and broader market selloff linked to macro risk-off sentiment, indicating bearish market conditions. Regulatory dimension is flagged by ECB President Christine Lagarde's dismissal of crypto assets' value, adding downward pressure. Coinbase's Fortune 500 inclusion and luxury brands adopting crypto payments provide some positive institutional adoption signals, but these are outweighed by negativity. Large wallet movements into Coinbase suggest potential sell pressure or cautious positioning, linking to exchange activity concerns. There are no direct reports of security breaches or ETF-related events. Uncertainty is moderate due to the contrast between adoption progress and negative macro/regulatory sentiment. The overall market impact is high based on Bitcoin's price moves and influential regulatory news. Thus, the dominant event type is 'macro', with notable mentions of regulation, exchange, and adoption."
2022-05-25,36,16,,0.18242736111111113,-0.3,0.3,0.5,0.4,0.7,macro,0,0,1,0,1,"The day’s Bitcoin news reflect a mixed but bearish-leaning market environment amid ongoing macro-driven crypto turmoil. Bitcoin price showed some resilience, maintaining levels just below $30,000 despite recent crashes and overall crypto market volatility triggered by the TerraUSD/Luna collapse. Institutional BTC outflows and large whale transfers between exchanges indicate caution and potential liquidity shifts. Meanwhile, Coinbase’s historic Fortune 500 entry and Cathie Wood’s continued accumulation of crypto-linked stocks highlight pockets of institutional confidence. The dominant theme remains macro risk and market uncertainty driven by contagion from stablecoin failure, but adoption-related positive developments offer some offsetting bullish signs. Overall, market impact is moderate to high, with significant price swings and investor uncertainty prevailing.","The news includes multiple reports on Bitcoin price volatility, the crypto market crash following the TerraUSD/Luna implosion, and institutional investor behavior such as large BTC outflows and whale movements, which indicate bearish and uncertain sentiment. However, there are also bullish signals from Coinbase entering the Fortune 500, Cathie Wood accumulating crypto stocks, and some adoption-related stories like El Salvador's Bitcoin usage, and Mastercard's remarks on eventual digital asset adoption. The dominant event type is macro due to the broad market selloff and contagion effects. The market impact score is elevated due to the severe market moves and volume shifts. Mentions of exchange activity (whale transfers and Coinbase news) as well as institutional adoption (Ark Investments buying crypto stocks, Fortune 500 Coinbase) are present. No ETF or regulation-specific news were prominent. Security/hacks were not mentioned. Overall sentiment is conservatively bearish to neutral, acknowledging ongoing macro risks with some adoption-driven optimism."
2022-05-26,32,17,,0.2383884375,0.1,0.4,0.3,0.3,0.5,adoption,1,1,1,0,1,"The day featured a mixed Bitcoin outlook with positive institutional interest from Ark Invest increasing stakes in crypto-linked stocks, and JPMorgan forecasting potential upside with a fair value at $38,000. Adoption remains strong with 27% of US adults involved in crypto trading and Ukraine soliciting crypto donations creatively. Regulatory environment shows caution: Portugal rejected a crypto tax proposal and India's crypto lobby is not pursuing legal challenges after RBI restrictions, reflecting a complex and cautious landscape. ETF activity was noted with new ETP launches on Frankfurt Stock Exchange, indicating growing structured product support. Bitcoin technical analysis suggests vulnerability with attempts to break below a descending triangle, signaling some bearish momentum. Overall, market impact is moderate with balanced bullish and bearish signals amid ongoing uncertainty in regulation and price action.","The news indicates significant institutional adoption (Ark Invest purchases and 27% US adults involved), supporting a bullish stance on Bitcoin adoption. JPMorgan's positive valuation forecast adds to bullish sentiment. ETF launches contribute moderately positive signals. However, Bitcoin's price weakness and technical signs of potential further declines introduce bearish pressures. Regulatory developments reveal a cautious and restrained environment without aggressive crackdowns or breakthroughs, increasing uncertainty. Exchange activity like large Bitcoin transfer from Coinbase signals market movement but no security incidents reported, so neutral on security and exchange risk. Combining these, the sentiment is slightly positive but tempered by uncertainty and technical risks, resulting in moderate market impact focused on adoption-related events."
2022-05-27,34,13,,0.10450999999999999,0.2,0.5,0.3,0.3,0.6,adoption,0,1,1,0,1,"The news on May 27, 2022, reflects a market under 'extreme fear' and volatility, with Bitcoin prices struggling but analysts highlighting potential for reversal. Institutional interest in Bitcoin appears to be increasing, with mentions of significant corporate holdings and investment positions. Coinbase features prominently, with notes on executive share sales, strategic challenges in India, and increased stock purchases by Ark Invest, signaling mixed sentiments toward the exchange. Additionally, Huobi Global's acquisition of Bitex indicates expansion in Latin America. Regulatory concerns are present, highlighted by the World Bank’s refusal to support Central African Republic’s crypto hub and Coinbase's legal and governmental challenges in India. Altcoin market risk is noted alongside Bitcoin dominance gains. Overall, adoption and institutional activity are the dominant themes, tempered by regulatory uncertainties and exchange-related developments.","The overall sentiment is mildly positive (0.2) due to the balance between current market fear and signals of institutional adoption and potential price recovery. Bullish elements include institutional interest, Bitcoin's role as financial insurance, and exchange expansion. Bearish elements consist of regulatory pushbacks (e.g., World Bank stance, RBI pressure on Indian exchanges), market fear, and ongoing price struggles. Uncertainty is elevated due to regulatory environment and market volatility. Market impact is moderate to high (0.6) given the influence of institutional moves, regulatory developments, and exchange activities on Bitcoin's outlook. The dominant event type is 'adoption' reflecting institutional buying, expansion of exchanges, and Bitcoin's positioning as investment insurance, but regulatory issues also feature prominently."
